AutoID_row_number,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
340,63.286,70.259,69.923,107.423,462.424
341,64.076,79.747,79.826,106.763,417.321
342,64.117,79.514,79.772,106.18,416.223
343,82.778,82.69,82.784,107.582,406.016
344,35.08,49.603,49.627,106.662,670.606
345,35.135,49.744,49.768,106.516,679.21
346,35.156,49.613,49.761,106.34,688.883
347,65.161,73.303,73.559,106.726,460.966
348,77.487,96.191,96.155,107.079,355.219
349,65.262,73.467,73.672,107.223,462.108
350,65.197,73.468,73.356,106.921,466.74
351,64.95,73.631,73.483,107.15,470.684
352,64.978,73.598,73.339,106.847,468.628
353,258.305,258.689,258.428,0.0,4.574
354,175.755,176.361,175.806,0.0,6.788
355,130.268,130.181,130.447,0.0,18.253
356,130.44,130.384,129.967,0.0,17.915
357,130.571,130.189,129.939,0.0,17.514
358,124.5,124.399,123.643,0.0,17.944
359,259.444,258.687,258.793,0.0,7.235
360,258.565,258.827,257.861,0.0,7.293
361,51.784,51.886,51.756,0.0,22.347
362,65.11,65.27,64.968,0.0,17.796
363,130.454,130.568,130.199,0.0,8.942
364,130.28,129.919,130.72,0.0,9.791
365,130.408,130.573,130.744,0.0,9.887
366,130.45,129.892,130.081,0.0,10.976
367,130.313,130.566,130.638,0.0,10.695
368,64.967,65.305,65.322,0.0,21.205
369,130.34,130.213,130.387,0.0,10.76
370,463.529,465.58,465.465,0.0,23.976
371,130.349,130.147,130.421,0.0,11.491
372,130.612,129.888,130.344,0.0,11.507
373,130.204,130.668,130.508,0.0,11.449
374,130.367,130.373,130.615,0.0,11.386
375,465.741,465.468,464.404,0.0,8.884
376,465.903,467.741,465.92,0.0,8.969
377,372.996,371.938,373.186,0.0,35.556
378,371.874,373.144,372.742,0.0,35.726
379,130.107,130.932,130.092,0.0,14.198
380,124.229,124.221,123.786,0.0,13.994
381,123.476,124.338,124.491,0.0,13.928
382,82.659,82.748,82.869,51.299,55.82
383,371.963,372.615,372.589,0.0,25.334
384,371.932,370.7,374.232,0.0,25.257
385,123.996,123.899,124.023,0.0,17.69
386,130.069,130.703,130.386,0.0,16.795
387,175.955,175.959,176.485,0.0,17.744
388,130.581,130.021,130.54,0.0,23.811
389,130.7,130.271,130.404,0.0,23.934
390,65.214,65.391,65.373,0.0,33.957
391,64.963,65.237,65.288,0.0,33.756
392,65.627,65.287,65.264,0.0,33.485
393,176.27,175.81,175.922,0.0,13.072
394,175.812,174.825,175.834,0.0,13.171
395,175.811,175.246,175.824,0.0,14.377
396,176.138,175.888,175.858,0.0,14.552
397,130.479,130.551,130.551,0.0,19.502
398,130.55,129.947,130.294,0.0,20.302
399,130.125,130.726,130.168,0.0,20.536
400,130.151,130.538,129.92,0.0,20.461
401,464.149,463.195,466.318,0.0,34.029
402,467.001,466.523,464.31,0.0,34.809
403,65.272,65.029,65.061,4.651,49.34
404,65.388,65.334,65.303,0.0,46.179
405,130.694,129.83,130.479,0.0,22.063
406,129.948,130.193,130.436,0.0,21.965
407,175.726,175.775,176.588,0.0,16.076
408,465.289,466.416,466.65,0.0,10.461
409,176.404,176.042,175.492,0.0,20.088
410,176.074,175.746,175.44,0.0,19.851
411,258.512,258.098,259.032,0.0,33.468
412,258.788,259.077,258.6,0.0,33.779
413,65.346,65.273,65.211,107.219,56.607
414,130.082,130.584,130.534,0.0,30.187
415,465.332,466.305,464.554,0.0,27.207
416,466.02,466.071,465.22,0.0,27.035
417,145.173,145.234,144.754,0.0,25.45
418,175.551,175.992,175.005,0.0,23.254
419,176.605,175.373,176.02,0.0,23.25
420,466.2,467.333,465.705,0.0,10.025
421,466.845,465.441,464.559,0.0,10.045
422,130.885,130.307,130.547,0.0,31.146
423,130.609,130.259,130.488,0.0,30.927
424,65.123,65.061,65.259,107.063,62.242
425,65.181,65.231,65.024,106.998,61.604
426,176.063,175.767,175.947,0.0,24.214
427,176.178,176.602,175.777,0.0,24.163
428,175.864,176.663,176.041,0.0,24.115
429,176.328,175.425,175.847,0.0,24.048
430,175.964,175.247,176.221,0.0,24.105
431,175.802,176.454,176.446,0.0,24.813
432,175.591,176.169,175.69,0.0,24.825
433,176.253,175.504,174.897,0.0,25.013
434,130.472,130.006,130.159,0.0,34.771
435,175.607,175.745,175.951,0.0,25.779
436,130.063,130.436,130.066,0.0,34.493
437,124.907,124.445,124.414,0.0,38.619
438,130.486,130.112,130.217,0.0,35.599
439,466.095,465.215,467.652,0.0,27.666
440,464.312,463.581,465.059,0.0,27.621
441,176.27,175.802,176.681,0.0,27.779
442,176.701,175.675,176.354,0.0,27.841
443,130.117,129.781,131.002,0.0,37.334
444,65.224,65.08,65.321,106.135,73.679
445,65.162,65.451,65.277,107.198,73.611
446,130.243,130.725,130.268,0.0,36.739
447,466.538,467.31,466.066,0.0,38.836
448,465.41,465.848,467.895,0.0,29.885
449,176.13,175.816,175.535,0.0,35.32
450,175.804,176.117,175.495,0.0,28.591
451,130.391,130.523,130.652,0.0,38.689
452,130.512,130.277,130.63,0.0,38.883
453,130.108,130.212,130.487,0.0,38.592
454,466.401,466.783,465.488,0.0,15.507
455,465.616,466.082,465.375,0.0,15.359
456,130.407,130.472,130.569,0.0,40.342
457,130.057,130.12,130.658,0.0,40.284
458,130.127,130.179,130.22,0.0,40.231
459,175.836,175.893,176.631,0.0,29.896
460,123.965,124.191,124.543,0.0,42.274
461,124.002,124.102,124.177,0.0,42.272
462,130.652,130.616,130.303,0.0,44.055
463,175.876,175.793,176.712,0.0,31.887
464,130.6,130.419,130.335,0.0,43.425
465,124.074,124.208,124.39,0.0,45.848
466,130.593,130.254,130.429,0.0,43.872
467,176.329,176.096,175.785,0.0,32.19
468,124.579,124.746,123.954,0.0,45.323
469,124.347,124.291,123.827,0.0,45.325
470,124.238,124.436,123.851,0.0,45.519
471,130.363,129.999,130.249,0.0,42.723
472,465.655,466.226,465.349,14.008,47.196
473,465.222,464.28,465.884,74.493,63.643
474,466.616,465.964,464.605,74.582,60.75
475,465.526,466.351,465.681,0.0,20.912
476,130.329,129.835,130.009,79.46,59.922
477,175.938,175.873,175.34,0.0,37.116
478,130.029,130.276,130.376,0.0,50.275
479,175.949,175.924,176.611,0.0,36.715
480,176.162,176.155,175.884,0.0,35.973
481,123.994,124.547,124.328,0.0,51.301
482,123.885,124.182,124.508,0.0,50.911
483,176.075,175.254,176.297,0.0,36.112
484,176.23,176.516,175.787,0.0,36.809
485,175.938,176.085,176.338,0.0,36.138
486,176.563,175.772,175.962,0.0,36.452
487,465.741,465.227,464.944,64.566,51.229
488,465.214,464.927,466.682,65.488,51.471
489,130.297,130.098,130.355,0.0,49.789
490,175.975,175.835,175.245,0.0,37.562
491,175.47,175.957,175.744,0.0,37.378
492,176.54,175.967,176.004,0.0,37.721
493,175.685,175.972,175.96,0.0,38.266
494,175.431,175.643,175.616,0.0,37.954
495,175.916,175.946,175.939,0.0,38.222
496,175.865,176.037,176.569,0.0,38.054
497,175.966,175.598,176.093,0.0,38.945
498,130.548,130.167,130.483,0.0,53.0
499,130.679,130.9,130.656,23.216,54.669
500,130.029,129.927,130.297,23.177,54.58
501,65.457,65.39,65.211,106.681,109.069
502,65.286,65.134,65.17,107.116,110.261
503,65.303,65.302,65.233,107.247,110.43
504,130.891,130.295,130.341,107.06,56.369
505,130.383,130.676,130.502,106.672,56.108
506,130.481,130.164,130.514,107.258,57.453
507,130.472,130.56,130.606,107.371,58.312
508,130.262,130.559,130.613,106.834,58.066
509,176.323,176.354,176.051,0.0,44.256
510,175.953,175.957,176.058,0.0,43.86
511,175.969,175.872,175.979,0.0,43.943
512,176.202,175.157,176.831,0.0,44.356
513,467.832,466.903,465.412,0.0,39.18
514,176.001,176.267,176.232,0.0,46.956
515,175.689,175.839,176.318,0.0,46.706
516,130.083,130.08,130.471,106.498,64.516
517,130.867,130.137,130.59,107.09,64.258
518,175.773,175.548,176.2,0.0,49.333
519,176.53,175.86,175.637,0.0,49.267
520,175.983,176.027,176.14,0.0,48.545
521,124.078,124.07,123.7,106.809,69.23
522,124.416,123.853,124.104,106.113,69.491
523,175.729,176.374,175.749,0.0,49.647
524,175.693,176.159,176.218,0.0,49.537
525,176.0,176.076,176.333,0.0,50.036
526,463.11,465.999,466.17,0.0,30.897
527,465.91,464.524,465.917,0.0,31.619
528,464.107,465.161,464.485,0.0,31.316
529,130.529,129.984,130.441,106.957,68.177
530,130.569,130.406,129.894,107.079,69.22
531,129.694,130.584,130.459,106.681,69.312
532,130.7,130.507,129.914,106.144,68.988
533,175.983,175.887,176.537,65.548,55.464
534,176.211,175.554,175.329,69.519,55.005
535,176.049,175.973,175.966,0.0,53.339
536,176.082,175.783,176.456,0.0,53.594
537,176.346,175.575,175.791,0.0,53.571
538,175.906,176.676,176.357,0.0,54.062
539,175.739,175.554,175.332,0.0,54.218
540,176.321,175.882,175.291,0.0,53.827
541,175.957,175.754,175.588,106.252,60.461
542,174.929,175.965,175.165,107.26,60.617
543,176.351,175.51,175.203,107.315,58.15
544,176.083,176.416,176.024,106.873,58.768
545,175.745,176.147,176.337,106.756,58.442
546,176.446,176.447,175.896,106.749,59.529
547,175.917,176.041,175.539,108.064,59.743
548,175.831,175.356,176.129,106.996,83.55
549,175.632,176.481,176.059,106.811,62.473
550,176.052,175.732,175.584,107.421,63.549
551,175.838,175.702,176.088,107.615,62.808
552,176.207,174.987,175.862,106.487,64.996
553,175.825,175.853,175.751,106.873,66.193
554,175.724,176.06,176.073,107.402,67.781
555,176.013,176.324,175.791,107.269,67.48
556,175.902,175.487,175.737,107.244,68.34
557,176.229,176.425,176.084,107.205,68.668
