AutoID_row_number,fbus,tbus,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
48,21,251,260,273,296,0.0,8.5639
49,22,34,337,372,411,0.0,8.4389
50,22,245,81,123,130,0.0,18.334
51,23,34,255,260,260,0.0,8.9011
52,23,34,255,260,260,0.0,8.9011
53,23,34,255,260,260,0.0,8.8849
54,24,31,520,520,520,0.0,18.671
55,24,35,253,273,296,0.0,8.2509
56,24,181,189,195,195,26.087,37.527
57,24,248,227,248,381,0.0,12.242
58,24,248,227,248,381,0.0,12.242
59,24,252,253,260,260,0.0,12.45
60,25,32,195,204,222,0.0,11.439
61,25,32,195,204,222,0.0,11.438
62,25,32,233,248,260,0.0,9.8906
63,27,185,191,204,222,0.0,33.887
64,28,29,195,204,222,0.0,14.775
65,30,32,195,204,222,0.0,24.808
66,30,32,195,204,222,0.0,24.808
67,30,32,195,204,222,0.0,22.377
68,30,33,520,520,520,0.0,11.293
69,30,174,260,260,260,0.0,19.056
70,30,179,104,123,153,30.435,41.114
71,30,184,91,108,134,0.0,29.812
72,31,248,227,248,381,0.0,13.299
73,31,248,227,248,381,0.0,13.299
74,31,253,253,260,260,0.0,13.362
75,32,33,504,520,520,0.0,11.588
76,32,254,260,273,296,0.0,12.16
77,32,254,260,273,296,0.0,12.16
78,33,173,306,321,348,0.0,14.497
79,33,177,104,104,104,0.0,33.11
80,33,182,306,321,348,56.522,35.872
81,33,184,274,291,322,0.0,22.332
82,36,64,666,728,804,39.13,47.731
83,36,71,666,728,804,39.13,46.092
84,36,187,191,191,191,0.0,18.848
85,36,188,191,191,191,0.0,18.848
86,36,189,191,191,191,0.0,18.848
87,37,59,493,493,493,0.0,27.155
88,37,213,322,322,322,78.261,66.299
89,37,214,322,322,322,86.957,75.116
90,37,215,322,322,322,17.391,43.609
91,37,216,322,322,322,86.957,76.178
92,38,208,493,493,493,0.0,9.1113
93,38,209,493,493,493,0.0,10.324
94,39,45,381,381,381,73.913,59.345
95,39,69,342,364,381,73.913,58.445
96,39,69,381,381,381,73.913,58.408
97,39,71,684,727,762,0.0,27.975
98,39,78,382,400,435,0.0,15.618
99,39,195,199,237,297,0.0,18.293
100,39,199,381,381,381,47.826,50.775
101,39,258,382,400,435,0.0,12.528
102,39,258,199,237,297,0.0,21.963
103,40,51,374,400,435,0.0,17.623
104,40,65,333,364,381,21.739,39.197
105,40,65,333,364,381,21.739,39.756
106,40,196,182,237,297,0.0,23.01
107,40,198,439,471,511,0.0,20.699
108,40,5,374,400,435,0.0,15.291
109,40,5,374,400,435,0.0,15.186
110,40,6,360,390,430,0.0,17.997
111,41,53,381,381,381,0.0,12.448
112,41,53,381,381,381,0.0,14.495
113,41,57,381,381,381,0.0,16.821
114,41,68,401,426,472,0.0,8.9789
115,41,68,493,493,493,0.0,8.8755
116,41,210,762,762,762,0.0,11.534
117,41,211,762,762,762,0.0,6.3714
118,42,78,382,400,435,0.0,28.465
119,42,78,382,400,435,0.0,28.455
120,42,257,381,381,381,0.0,30.007
121,42,257,381,381,381,0.0,30.324
122,43,58,493,493,493,0.0,13.876
123,43,76,446,446,446,0.0,9.7238
124,43,76,446,446,446,0.0,9.7234
125,43,204,381,381,381,0.0,21.192
126,43,205,381,381,381,0.0,38.654
127,43,219,342,364,381,0.0,16.633
128,44,48,342,364,381,78.261,69.572
129,44,66,381,381,381,0.0,16.027
130,44,66,897,941,1021,0.0,6.9308
131,44,193,381,381,381,52.174,43.946
132,45,46,382,400,435,0.0,28.392
133,45,46,382,400,435,0.0,31.21
134,45,46,382,400,435,0.0,31.059
135,45,74,381,381,381,34.783,43.94
136,45,199,381,381,381,73.913,61.492
137,46,50,381,400,435,100.0,90.568
138,46,64,666,728,804,34.783,46.336
139,46,214,381,381,381,78.261,64.655
140,46,216,382,400,435,69.565,57.411
141,46,222,438,438,438,65.217,45.982
142,46,260,342,364,381,0.0,14.139
143,47,57,381,381,381,0.0,13.727
144,47,61,199,237,297,0.0,32.377
145,47,66,381,381,381,0.0,30.764
146,47,67,381,381,381,0.0,13.696
147,47,75,382,400,435,0.0,13.927
148,47,197,762,762,762,0.0,6.168
149,47,211,762,762,762,0.0,9.8614
150,47,224,750,762,762,0.0,7.6124
151,48,66,381,381,381,0.0,35.737
152,48,69,342,364,381,73.913,56.393
153,48,69,381,381,381,73.913,56.355
154,49,57,381,381,381,0.0,26.232
155,49,193,1200,1200,1200,0.0,4.1177
156,49,221,762,762,762,0.0,13.544
157,50,55,381,381,381,0.0,17.76
158,50,55,381,381,381,0.0,19.524
159,50,56,762,762,762,0.0,7.1033
160,50,204,381,381,381,0.0,27.235
161,50,213,381,381,381,69.565,56.741
162,50,215,382,400,435,0.0,33.228
163,50,217,382,400,435,0.0,30.94
164,51,66,382,400,435,0.0,17.183
165,51,66,382,400,435,0.0,17.169
166,51,194,382,400,435,0.0,23.823
167,51,194,382,400,435,0.0,23.788
168,51,197,825,864,938,0.0,18.817
169,51,224,750,762,762,0.0,6.6929
170,52,199,191,191,191,0.0,35.744
171,53,68,401,426,472,0.0,12.511
172,53,190,381,381,381,0.0,15.599
173,54,63,374,381,381,0.0,27.351
174,54,77,374,400,435,0.0,23.902
175,54,77,374,400,435,0.0,22.311
176,54,191,182,229,229,8.6957,42.041
177,54,191,229,229,229,8.6957,42.551
178,54,192,374,400,435,0.0,23.451
179,54,200,182,237,297,0.0,23.194
180,54,201,182,237,297,0.0,24.658
181,54,202,182,237,297,0.0,24.757
182,54,203,182,237,297,21.739,29.069
183,55,58,364,364,364,0.0,33.685
184,55,204,381,381,381,0.0,15.642
185,55,205,381,381,381,0.0,14.497
186,56,74,382,400,435,0.0,43.121
187,56,205,382,400,435,0.0,34.454
188,57,60,381,381,381,0.0,19.798
189,57,67,381,381,381,0.0,16.111
190,57,190,381,381,381,0.0,16.65
191,57,210,762,762,762,0.0,11.255
192,57,220,1200,1200,1200,0.0,22.861
193,57,221,762,762,762,0.0,26.324
194,58,219,364,364,364,0.0,20.456
195,59,217,493,493,493,0.0,28.119
196,60,66,381,381,381,13.043,31.977
197,60,206,191,191,191,0.0,34.916
198,60,207,191,191,191,0.0,38.77
199,62,212,374,381,381,0.0,18.639
200,62,259,376,381,381,0.0,21.079
201,62,259,376,381,381,0.0,21.076
202,62,261,370,381,381,0.0,24.559
203,62,261,370,381,381,0.0,24.559
204,63,194,374,381,381,0.0,28.621
205,65,257,381,381,381,0.0,32.815
206,65,257,381,381,381,0.0,33.106
207,65,259,376,381,381,0.0,21.702
208,65,259,376,381,381,0.0,21.699
209,66,218,381,381,381,0.0,32.647
210,69,70,762,762,762,0.0,23.915
211,70,197,762,762,762,0.0,24.079
212,71,78,382,400,435,0.0,23.136
213,71,78,382,400,435,0.0,23.136
214,72,261,370,381,381,0.0,26.377
215,72,261,370,381,381,0.0,26.377
216,73,77,374,400,435,0.0,19.779
217,73,79,762,762,762,0.0,10.645
218,75,79,762,762,762,0.0,10.657
219,75,267,382,400,435,0.0,18.078
220,77,192,374,400,435,0.0,24.556
221,77,192,374,400,435,0.0,24.656
222,78,223,342,364,402,0.0,22.285
223,78,258,382,400,435,0.0,25.097
224,80,87,1361,1386,1386,0.0,11.523
225,80,105,1361,1386,1386,0.0,12.511
226,81,93,1386,1386,1386,0.0,16.306
227,81,94,1386,1386,1386,0.0,6.8305
228,82,85,1386,1386,1386,100.0,99.34
229,82,89,1386,1386,1386,0.0,26.211
230,82,100,1386,1386,1386,100.0,92.383
231,83,95,1386,1386,1386,86.957,73.176
232,83,99,1386,1386,1386,0.0,18.129
233,83,100,1363,1386,1386,100.0,150.12
234,83,101,1386,1386,1386,73.913,61.791
235,84,86,1321,1386,1386,0.0,37.973
236,84,100,1321,1386,1386,8.6957,44.813
237,85,95,1386,1386,1386,73.913,67.65
238,85,99,1386,1386,1386,0.0,39.497
239,86,87,1321,1386,1386,0.0,36.45
240,86,97,1321,1386,1386,0.0,24.323
241,86,226,1321,1386,1386,0.0,21.513
242,87,102,1386,1386,1386,0.0,8.1463
243,87,226,1321,1386,1386,69.565,51.389
244,87,234,340,340,340,100.0,90.459
245,87,235,340,340,340,100.0,90.459
246,87,236,340,340,340,100.0,90.447
247,88,93,1386,1386,1386,0.0,36.865
248,88,93,1386,1386,1386,0.0,31.577
249,88,96,1631,1711,1856,0.0,16.442
250,88,104,1631,1711,1857,0.0,23.111
251,89,97,1321,1386,1386,0.0,24.068
252,89,100,1386,1386,1386,100.0,129.97
253,89,226,1386,1386,1386,0.0,30.817
254,90,93,1386,1386,1386,0.0,9.8191
255,90,103,1386,1386,1386,4.3478,37.035
256,90,106,1386,1386,1386,0.0,24.854
257,90,231,1631,1711,1857,0.0,6.1561
258,90,268,1386,1386,1386,0.0,6.6638
259,91,104,1386,1386,1386,0.0,8.4547
260,91,104,1386,1386,1386,0.0,8.2331
261,91,229,1631,1711,1857,0.0,5.3746
262,91,229,1631,1711,1857,0.0,6.1448
263,91,230,1631,1711,1857,0.0,6.3949
264,92,93,1386,1386,1386,69.565,53.826
265,92,95,1386,1386,1386,69.565,54.064
266,93,94,1386,1386,1386,0.0,7.5873
267,93,101,1386,1386,1386,73.913,55.551
268,95,101,1386,1386,1386,17.391,41.865
269,95,241,528,528,528,65.217,47.6
270,95,242,528,528,528,100.0,61.224
271,96,104,1386,1386,1386,0.0,18.23
272,96,232,350,350,350,8.6957,31.708
273,96,233,350,350,350,56.522,49.931
274,96,1,1390,1400,1660,0.0,13.767
275,96,1,1390,1400,1660,0.0,13.767
276,98,99,1386,1386,1386,0.0,19.844
277,98,3,1386,1386,1386,0.0,8.1443
278,99,237,340,340,340,91.304,82.405
279,99,238,340,340,340,91.304,82.455
280,99,243,505,505,505,0.0,19.604
281,99,244,505,505,505,0.0,19.604
282,100,239,438,438,438,100.0,1303.5
283,100,240,438,438,438,13.043,27.734
284,101,103,1386,1386,1386,17.391,39.011
285,102,107,1386,1386,1386,0.0,9.1154
286,105,227,1386,1386,1386,0.0,10.828
287,105,228,1386,1386,1386,0.0,10.377
288,105,4,1280,1386,1386,0.0,9.3873
