index,Life Assessment,Total_Indicator,lat,long
221,0.0,0.0,,
222,0.005,0.005,,
223,0.0,0.0,,
224,0.161,0.161,,
225,0.003,0.003,,
226,0.161,0.161,,
227,0.008,0.008,,
228,0.005,0.005,,
229,0.001,0.001,,
230,0.001,0.001,,
231,0.006,0.006,,
232,0.004,0.004,,
233,0.151,0.151,,
234,0.003,0.003,,
235,0.008,0.008,,
236,0.008,0.008,,
237,0.004,0.004,,
238,0.003,0.003,,
239,0.005,0.005,,
240,0.002,0.002,,
241,0.001,0.001,,
242,0.001,0.001,,
243,0.002,0.002,,
244,0.0,0.0,,
245,0.001,0.001,,
246,0.001,0.001,,
247,0.215,0.215,,
248,0.002,0.002,,
249,0.001,0.001,,
250,0.001,0.001,,
251,0.0,0.0,,
252,0.005,0.005,,
253,0.0,0.0,,
254,0.002,0.002,,
255,0.198,0.198,,
256,0.003,0.003,,
257,0.002,0.002,,
258,0.008,0.008,,
259,0.0,0.0,,
260,0.002,0.002,,
261,0.0,0.0,,
262,0.001,0.001,,
263,0.119,0.119,,
264,0.171,0.171,,
265,0.001,0.001,,
266,0.001,0.001,,
267,0.001,0.001,,
268,0.004,0.004,,
269,0.001,0.001,,
270,0.003,0.003,,
271,0.065,0.065,,
272,0.023,0.023,,
273,0.226,0.226,,
274,0.219,0.219,,
275,0.001,0.001,,
276,0.004,0.004,,
277,0.002,0.002,,
278,0.003,0.003,,
279,0.001,0.001,,
280,0.219,0.219,,
281,0.152,0.152,,
282,0.004,0.004,,
283,0.0,0.0,,
284,0.17,0.17,,
285,0.004,0.004,,
286,0.001,0.001,,
287,0.001,0.001,,
288,0.002,0.002,,
289,0.008,0.008,,
290,0.003,0.003,,
291,0.001,0.001,,
292,0.0,0.0,,
293,0.001,0.001,,
294,0.007,0.007,,
295,0.006,0.006,,
296,0.226,0.226,,
297,0.006,0.006,,
298,0.001,0.001,,
299,0.213,0.213,,
300,0.161,0.161,,
301,0.005,0.005,,
302,0.005,0.005,,
303,0.001,0.001,,
304,0.003,0.003,,
305,0.001,0.001,,
306,0.225,0.225,,
307,0.0,0.0,,
308,0.001,0.001,,
309,0.001,0.001,,
310,0.001,0.001,,
311,0.002,0.002,,
312,0.008,0.008,,
313,0.003,0.003,,
314,0.003,0.003,,
315,0.22,0.22,,
316,0.002,0.002,,
317,0.005,0.005,,
318,0.133,0.133,,
319,0.001,0.001,,
320,0.001,0.001,,
321,0.001,0.001,,
322,0.003,0.003,,
323,0.003,0.003,,
324,0.004,0.004,,
325,0.003,0.003,,
326,0.003,0.003,,
327,0.005,0.005,,
328,0.002,0.002,,
329,0.0,0.0,,
330,0.0,0.0,,
331,0.001,0.001,,
332,0.0,0.0,,
333,0.001,0.001,,
334,0.151,0.151,,
335,0.001,0.001,,
336,0.002,0.002,,
337,0.003,0.003,,
338,0.01,0.01,,
339,0.008,0.008,,
340,0.003,0.003,,
341,0.003,0.003,,
342,0.151,0.151,,
343,0.008,0.008,,
344,0.001,0.001,,
345,0.161,0.161,,
346,0.216,0.216,,
347,0.007,0.007,,
348,0.004,0.004,,
349,0.003,0.003,,
350,0.0,0.0,,
351,0.218,0.218,,
352,0.002,0.002,,
353,0.001,0.001,,
354,0.152,0.152,,
355,0.233,0.233,,
356,0.22,0.22,,
357,0.228,0.228,,
358,0.228,0.228,,
359,0.251,0.251,,
360,0.218,0.218,,
361,0.005,0.005,,
362,0.224,0.224,,
363,0.001,0.001,,
364,0.005,0.005,,
365,0.002,0.002,,
366,0.0,0.0,,
367,0.001,0.001,,
368,0.0,0.0,,
369,0.001,0.001,,
370,0.002,0.002,,
371,0.003,0.003,,
372,0.0,0.0,,
373,0.001,0.001,,
374,0.002,0.002,,
375,0.227,0.227,,
376,0.003,0.003,,
377,0.001,0.001,,
378,0.004,0.004,,
379,0.171,0.171,,
380,0.007,0.007,,
381,0.002,0.002,,
382,0.001,0.001,,
383,0.001,0.001,,
384,0.178,0.178,,
385,0.002,0.002,,
386,0.001,0.001,,
387,0.002,0.002,,
388,0.002,0.002,,
389,0.002,0.002,,
390,0.001,0.001,,
391,0.001,0.001,,
392,0.006,0.006,,
393,0.011,0.011,,
394,0.003,0.003,,
395,0.008,0.008,,
396,0.003,0.003,,
397,0.009,0.009,,
398,0.003,0.003,,
399,0.003,0.003,,
400,0.002,0.002,,
401,0.003,0.003,,
402,0.009,0.009,,
403,0.003,0.003,,
404,0.005,0.005,,
405,0.004,0.004,,
406,0.0,0.0,,
407,0.006,0.006,,
408,0.001,0.001,,
409,0.008,0.008,,
410,0.005,0.005,,
411,0.002,0.002,,
412,0.001,0.001,,
413,0.003,0.003,,
414,0.001,0.001,,
415,0.003,0.003,,
416,0.005,0.005,,
417,0.0,0.0,,
418,0.006,0.006,,
419,0.0,0.0,,
420,0.003,0.003,,
421,0.004,0.004,,
422,0.161,0.161,,
423,0.002,0.002,,
424,0.002,0.002,,
425,0.006,0.006,,
426,0.001,0.001,,
427,0.008,0.008,,
428,0.004,0.004,,
429,0.001,0.001,,
430,0.006,0.006,,
431,0.0,0.0,,
432,0.001,0.001,,
433,0.001,0.001,,
434,0.132,0.132,,
435,0.104,0.104,,
436,0.104,0.104,,
437,0.101,0.101,,
438,0.101,0.101,,
439,0.1,0.1,,
