,Support_ID,EI,LA,MS,action
157,S66F4H2C//D18-2,0.2596,0.0,0.0,Replacement
158,S68C80M4//D18-1,0.2596,0.0,0.0,Replacement
159,S68L7B9D//D18,0.2321,0.0,0.0,Replacement
160,S68WEX0Q//D18-1-1CT,0.168,0.347,0.0,Keep the current maintenance
161,S69FM59I//D17,0.217,0.415,0.0,Keep the current maintenance
162,S6B014RF//D19,0.207,0.396,0.0,Keep the current maintenance
163,S6DKBCST//D20,0.201,0.386,0.0,Keep the current maintenance
164,S6GW2MLG//D21,0.196,0.376,0.0,Keep the current maintenance
165,S6JOCF2T//D22,0.191,0.366,0.0,Keep the current maintenance
166,S6MND6XT//D23,0.186,0.356,0.0,Keep the current maintenance
167,S6POMA23//D24,0.181,0.347,0.0,Keep the current maintenance
168,S6TMKI7P//D25,0.175,0.434,0.0,Keep the current maintenance
169,S6WGD6QK//D26,0.17,0.326,0.0,Keep the current maintenance
170,S6X7S4UK//189-15-CT,0.157,0.425,0.0,Keep the current maintenance
171,S6XPQQ6E//189-14,0.24640000000000004,0.0,0.0,Replacement
172,S7058P58//189-13,0.24640000000000004,0.0,0.0,Replacement
173,S70SFJ8S//D27,0.165,0.415,0.0,Keep the current maintenance
174,S71467HF//189-12,0.41140000000000004,0.0,0.458,Replacement
175,S71G5AC8//189-11,0.24640000000000004,0.0,0.0,Replacement
176,S73NP0J2//189-10,0.24640000000000004,0.0,0.0,Replacement
177,S74SM4JO//D28,0.16,0.306,0.0,Keep the current maintenance
178,S75OJP8F//189-9,0.24640000000000004,0.0,0.0,Replacement
179,S77KVV12//D29,0.155,0.297,0.0,Keep the current maintenance
180,S78157MX//189-8,0.24640000000000004,0.0,0.0,Replacement
181,S783DILX//189-6-1-CT,0.092,0.298,0.0,Keep the current maintenance
182,S7AAX8X3//189-7,0.24640000000000004,0.0,0.0,Replacement
183,S7AKO0K3//189-6,0.24640000000000004,0.0,0.0,Replacement
184,S7ALFFNX//189-7-1,0.157,0.425,0.0,Keep the current maintenance
185,S7ATNEM5//D30,0.15,0.287,0.0,Keep the current maintenance
186,S7BSKRFB//189-5,0.24640000000000004,0.0,0.0,Replacement
187,S7CKR95N//D59-3-11,0.165,0.44,0.0,Keep the current maintenance
188,S7CN1LDA//189-4,0.24640000000000004,0.0,0.0,Replacement
189,S7CT14OH//D59-3-10-1-CT,0.031,0.182,0.0,Keep the current maintenance
190,S7CWQBXF//D59-3-10,0.165,0.44,0.0,Keep the current maintenance
191,S7DAPFTG//189-3,0.224,0.454,0.0,Keep the current maintenance
192,S7DXW5GE//D59-3-9,0.165,0.44,0.0,Keep the current maintenance
193,S7EULF2I//D31,0.144,0.276,0.0,Keep the current maintenance
194,S7FUA7XL//D59-3-8,0.165,0.44,0.0,Keep the current maintenance
195,S7I8CKKC//D59-3-7,0.165,0.465,0.0,Keep the current maintenance
196,S7K3X81U//D59-3-6,0.165,0.44,0.0,Keep the current maintenance
197,S7K8FV77//D59,0.0,0.097,0.458,Keep the current maintenance
198,S7KO6AMP//D32,0.139,0.267,0.0,Keep the current maintenance
199,S7LWSE9U//D59-3-5-2-CT,0.031,0.182,0.0,Keep the current maintenance
200,S7M72A6O//D59-3-3,0.165,0.44,0.0,Keep the current maintenance
201,S7MARHA0//D59-3-5,0.165,0.44,0.0,Keep the current maintenance
202,S7MBIWHE//D59-3-3-1-CT,0.031,0.182,0.0,Keep the current maintenance
203,S7ML9NUP//D59-3-5-1,0.099,0.311,0.0,Keep the current maintenance
204,S7N5XQHB//D59-3-2,0.165,0.44,0.0,Keep the current maintenance
205,S7NGG35B//D33,0.134,0.256,0.0,Keep the current maintenance
206,S7NHWU4V//D58,0.005,0.008,0.0,Keep the current maintenance
207,S7NTVW28//D59-3-4,0.165,0.44,0.0,Keep the current maintenance
208,S7OJ4NLW//D57,0.01,0.116,0.0,Keep the current maintenance
209,S7OPTMG9//D59-1,0.233,0.446,0.0,Keep the current maintenance
210,S7PI254F//D59-3-1,0.165,0.44,0.0,Keep the current maintenance
211,S7Q6HER3//D59-2,0.25630000000000003,0.0,0.0,Replacement
212,S7R0WCF7//D34,0.129,0.247,0.0,Keep the current maintenance
213,S7R36JTR//D59-3,0.25630000000000003,0.0,0.0,Replacement
214,S7RO508P//D56,0.015,0.027,0.0,Keep the current maintenance
215,S7S2TH5D//D59-4,0.25630000000000003,0.0,0.0,Replacement
216,S7T5I6LW//D59-5,0.25630000000000003,0.0,0.0,Replacement
217,S7TF8XFQ//D55,0.05,0.062,0.75,Keep the current maintenance
218,S7UGEPQA//D59-5-1,0.165,0.44,0.0,Keep the current maintenance
219,S7UK5WW1//D59-6,0.25630000000000003,0.0,0.0,Replacement
220,S7URMHAB//D35,0.124,0.335,0.0,Keep the current maintenance
221,S7VJ3F5T//D59-7,0.25630000000000003,0.0,0.0,Replacement
222,S7VJ3FC1//D59-5-2,0.165,0.44,0.0,Keep the current maintenance
223,S7WF15FQ//D59-5-3,0.165,0.44,0.0,Keep the current maintenance
224,S7WIQCFE//D59-8,0.25630000000000003,0.0,0.0,Replacement
225,S7XG6WWF//D59-5-4-CT,0.099,0.311,0.0,Keep the current maintenance
226,S7XMVW0M//D59-9,0.25630000000000003,0.0,0.0,Replacement
227,S8005LC0//D54,0.026,0.146,0.0,Keep the current maintenance
228,S806545G//D59-10,0.25630000000000003,0.0,0.0,Replacement
229,S8065866//D36,0.118,0.226,0.0,Keep the current maintenance
230,S814B5B6//D59-11,0.25630000000000003,0.0,0.0,Replacement
231,S81H1N5Q//D59-12-1-CT,0.099,0.311,0.0,Keep the current maintenance
