Support_ID,H2_defects,H3_defect_severity
S94UER5Q//D59-42,0,0
S95TCFBF//D37-20,0,0
S96NR3FP//D59-43,0,0
S98JDOV2//D59-44,0,0
S9B6FE4T//D59-45,0,0
S9C9TIPU//D59-46,0,0
S9EKF18O//D59-47,0,0
S9G9AN83//D59-48,0,0
S9GNI37M//D59-49,0,0
S9H009WP//D59-48-1,0,0
S9HK78CL//D59-48-2,0,0
S9IG4WEF//D59-50,0,0
S9JAJQF3//D59-48-3,0,0
S9K78VHR//D59-51,0,0
S9L5EWSE//D59-48-4,0,0
S9M5TB4P//D59-52,0,0
S9MNRWGQ//D59-48-5,0,0
S9ODF1BO//D59-53,0,0
S9OEVVL6//D59-48-6,0,0
S9PP31O3//D59-48-7,0,0
S9QN92WJ//D59-48-8,0,0
S9R185I1//D59-54,0,0
S9R5OS3P//D59-48-9,0,0
S9SL4188//D59-55,0,0
S9SVK89X//D59-48-10,0,0
S9UVNI1O//D59-48-11,0,0
S9VK4R87//D59-56,0,0
S9WS1K4W//D59-57,0,0
S9WVQRRJ//D59-48-12,0,0
SA046O6W//D59-58,0,0
SA0WLIL2//D59-48-13,0,0
SA20IQMI//D59-59,0,0
SA2M8LLM//D59-48-14,0,0
SA3FW02P//D59-60,0,0
SA4W2N0P//D59-48-15,0,0
SA5L9D5K//D59-61,0,0
SA715OGG//D59-62,0,0
SA8L1K81//D59-63,0,0
SA9A8AUC//D59-64,0,0
SAA3VNQU//D59-63-1-CT,0,0
SAA3VNV0//D59-65,0,0
SAAR4EJ8//D59-66,0,0
SAF2AALR//D59-67,0,0
SAHBCV02//D59-68,0,0
SAHF4495//D59-68-1-CT,0,0
SAJTES0E//D59-69,0,0
SAM60AF0//D59-70,1,2
SAOEBFMR//D59-71,0,0
SAQ6WASR//D59-72,0,0
SAS99VNN//D59-73,0,0
SATW5JKO//D59-74,0,0
SAX2EF03//D59-76-1 CT,0,0
SAXCULNU//D59-76,0,0
SB15HGUF//D59-77,0,0
SB32L0DN//D59-78,0,0
SB4W7LQT//D59-79-1 CT,0,0
SB51WT27//D59-79,0,0
SB65CXNO//D59-80 CT,0,0
TAWHA09W//D59-75,0,0
