Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
S9PP31O3//D59-48-7,6.188,6.205,3.218,4.792
S9QN92WJ//D59-48-8,6.192,6.185,1.01,3.7
S9R185I1//D59-54,7.095,6.93,2.858,5.011
S9R5OS3P//D59-48-9,6.181,6.207,3.204,4.77
S9SL4188//D59-55,7.096,6.883,2.875,5.019
S9SVK89X//D59-48-10,6.206,6.22,3.235,4.836
S9UVNI1O//D59-48-11,6.178,6.199,3.24,4.819
S9VK4R87//D59-56,7.092,6.91,3.251,5.161
S9WS1K4W//D59-57,7.103,6.887,2.865,5.008
S9WVQRRJ//D59-48-12,6.211,6.195,3.238,4.825
SA046O6W//D59-58,7.099,6.904,2.872,4.96
SA0WLIL2//D59-48-13,6.199,6.217,3.249,4.793
SA20IQMI//D59-59,7.079,6.903,3.245,5.191
SA2M8LLM//D59-48-14,6.179,6.186,2.891,4.644
SA3FW02P//D59-60,7.08,6.909,1.379,4.231
SA4W2N0P//D59-48-15,6.217,5.177,1.378,3.363
SA5L9D5K//D59-61,7.096,6.906,3.225,5.187
SA715OGG//D59-62,7.092,6.918,2.872,4.962
SA8L1K81//D59-63,7.079,6.927,2.884,5.036
SA9A8AUC//D59-64,7.081,6.903,2.854,5.011
SAA3VNQU//D59-63-1-CT,5.345,5.463,2.879,4.247
SAA3VNV0//D59-65,7.1,6.904,2.867,4.938
SAAR4EJ8//D59-66,7.101,6.927,2.873,4.984
SAF2AALR//D59-67,7.083,6.911,2.86,4.994
SAHBCV02//D59-68,7.094,6.908,2.869,4.989
SAHF4495//D59-68-1-CT,5.336,5.51,2.859,4.27
SAJTES0E//D59-69,7.076,6.907,2.847,4.976
SAM60AF0//D59-70,7.107,6.908,6.613,6.842
SAOEBFMR//D59-71,7.058,6.92,2.878,4.998
SAQ6WASR//D59-72,7.098,6.917,3.243,5.139
SAS99VNN//D59-73,7.059,6.91,3.242,5.182
SATW5JKO//D59-74,7.07,6.896,2.852,4.976
SAX2EF03//D59-76-1 CT,6.168,6.197,2.862,4.633
SAXCULNU//D59-76,7.09,6.918,2.504,4.78
SB15HGUF//D59-77,7.084,6.896,3.241,5.195
SB32L0DN//D59-78,7.066,6.896,3.236,5.152
SB4W7LQT//D59-79-1 CT,6.201,6.222,1.378,3.881
SB51WT27//D59-79,7.065,6.918,2.871,5.001
SB65CXNO//D59-80 CT,7.096,6.912,2.878,5.019
TAWHA09W//D59-75,7.08,6.899,2.497,4.781
