Support_ID,H1_KPI_weighted_power,H2_birdlife_KPI,H3_defecs_severity_KPI
S9ODF1BO//D59-53,7.066,10.13,0.0
S9OEVVL6//D59-48-6,6.195,10.13,0.0
S9PP31O3//D59-48-7,6.197,10.121,0.0
S9QN92WJ//D59-48-8,6.2,10.125,0.0
S9R185I1//D59-54,7.108,10.119,0.0
S9R5OS3P//D59-48-9,6.194,10.114,0.0
S9SL4188//D59-55,7.105,10.124,0.0
S9SVK89X//D59-48-10,6.214,10.135,0.0
S9UVNI1O//D59-48-11,6.182,10.134,0.0
S9VK4R87//D59-56,7.081,10.122,0.0
S9WS1K4W//D59-57,7.068,10.119,0.0
S9WVQRRJ//D59-48-12,6.205,10.121,0.0
SA046O6W//D59-58,7.117,10.135,0.0
SA0WLIL2//D59-48-13,6.196,10.126,0.0
SA20IQMI//D59-59,7.073,10.125,0.0
SA2M8LLM//D59-48-14,6.22,10.123,0.0
SA3FW02P//D59-60,7.071,10.124,0.0
SA4W2N0P//D59-48-15,6.2,0.0,0.0
SA5L9D5K//D59-61,7.071,10.131,0.0
SA715OGG//D59-62,7.057,10.128,0.0
SA8L1K81//D59-63,7.088,10.113,0.0
SA9A8AUC//D59-64,7.067,10.127,0.0
SAA3VNQU//D59-63-1-CT,5.328,10.137,0.0
SAA3VNV0//D59-65,7.085,10.132,0.0
SAAR4EJ8//D59-66,7.075,10.107,0.0
SAF2AALR//D59-67,7.092,10.145,0.0
SAHBCV02//D59-68,7.074,10.114,0.0
SAHF4495//D59-68-1-CT,5.314,10.114,0.0
SAJTES0E//D59-69,7.114,10.128,0.0
SAM60AF0//D59-70,7.077,10.125,10.283
SAOEBFMR//D59-71,7.074,10.127,0.0
SAQ6WASR//D59-72,7.105,10.117,0.0
SAS99VNN//D59-73,7.085,10.129,0.0
SATW5JKO//D59-74,7.083,10.119,0.0
SAX2EF03//D59-76-1 CT,6.195,10.125,0.0
SAXCULNU//D59-76,7.1,10.136,0.0
SB15HGUF//D59-77,7.087,10.141,0.0
SB32L0DN//D59-78,7.08,10.122,0.0
SB4W7LQT//D59-79-1 CT,6.218,10.129,0.0
SB51WT27//D59-79,7.082,10.127,0.0
SB65CXNO//D59-80 CT,7.091,10.132,0.0
TAWHA09W//D59-75,7.086,10.122,0.0
