Segment_ID;H1_KPI_weighted_power;H2_birdlife_KPI;H3_KPI_defects_severity
CDO7031416;7.58;0;0
CDO7031418;6.49;0;0
CDO7031420;7.66;0;0
NBZ7080778;0;0;0
NBZ7080779;6.87;10;0
NBZ7080780;0;0;0
NBZ7080781;4.73;0;0
NBZ7080782;0;0;0
NBZ7080783;0;0;0
NBZ7080784;0;0;0
NBZ7080785;6.88;0;0
NBZ7080786;0;0;0
NBZ7080787;0;0;0
NBZ7080788;0;0;0
NBZ7080789;0;0;0
NBZ7080790;6.89;0;0
NBZ7080791;5.16;10;0
NBZ7080792;0;0;0
NBZ7080793;0;0;0
NBZ7080794;0;0;0
NBZ7080795;0;0;0
NBZ7080796;6.76;0;0
NBZ7080797;0;0;0
NBZ7080798;6.01;0;0
NBZ7080799;0;0;0
NBZ7080800;0;0;0
NBZ7080801;0;0;0
NBZ7080802;0;0;0
NBZ7080803;6.91;0;0.1
NBZ7080804;6.87;0;0
NBZ7080805;0;0;0
NBZ7080806;6.87;10;0
NBZ7080807;6.01;0;0
NBZ7080808;0;0;0
NBZ7080809;0;0;0
NBZ7080810;6.89;5;0
NBZ7080811;6.89;0;0
NBZ7080812;6.03;0;0
NBZ7080813;7.66;0;0
NBZ7080814;6.72;0;0
NBZ7080815;4.3;0;0
NBZ7080816;6.02;10;0
NBZ7080817;6.01;0;0
NBZ7080818;6.01;0;0
NBZ7080819;6.87;10;0
NBZ7080820;6.87;10;0
NBZ7080821;6.91;0;0
NBZ7080822;6.87;5.71;0
NBZ7080823;6.05;0;0
NBZ7080824;0;0;0
NBZ7080825;0;0;0
NBZ7080826;0;0;0
NBZ7080827;6.89;0;0
NBZ7080828;6.03;0;0
NBZ7080829;6.01;0;0
NBZ7080830;5.07;0;0
NBZ7080831;6.87;0;0
NBZ7080832;5.73;0;0
NBZ7080833;6.01;0;0
NBZ7080834;6.64;0;0
NBZ7080835;0;0;0
NBZ7080836;0;0;0
NBZ7080837;0;0;0
NBZ7080838;6.89;6;0
NBZ7080839;0;0;0
NBZ7080840;4.09;0;0.1
NBZ7080841;6.89;0;0
NBZ7080842;5.74;0;0
NBZ7080843;6.4;0;0
NBZ7080844;6.01;10;0
NBZ7080845;6.76;0;0
NBZ7080846;5.22;0;0
NBZ7080847;5.08;0;0
NBZ7080848;4.98;0;0
NBZ7080849;4.62;0;0
NBZ7080850;6.03;0;0
NBZ7080851;0;0;0
NBZ7080852;7.16;0;0
NBZ7080853;6.87;0;0
NBZ7080854;5.16;0;0
NBZ7080855;0;0;0
NBZ7080856;0;0;0
NBZ7080857;0;0;0
NBZ7080858;0;0;0
NBZ7080859;0;0;0
NBZ7080860;0;0;0
NBZ7080861;5.84;0;0
NBZ7080862;0;0;0
NBZ7080863;6.03;0;0
NBZ7080864;0;0;0
NBZ7080865;6.89;0;0
NBZ7080866;0;0;0
NBZ7080867;6.87;10;0
NBZ7080868;6.87;10;1
NBZ7080869;6.87;10;0
NBZ7080870;0;0;0
NBZ7080871;6.01;10;0
NBZ7080872;0;0;0
NBZ7080873;0;0;0
NBZ7080874;0;0;0
NBZ7080875;0;0;0
NBZ7080876;0;0;0
NBZ7080877;0;0;0
NBZ7080878;6.01;0;0
NBZ7080879;5.16;10;0
NBZ7080880;0;0;0
NBZ7080881;6.87;10;0
NBZ7080883;0;0;0
NBZ7080884;6.76;0;0.5
NBZ7080885;6.87;0;0
NBZ7080886;4.3;0;0
NBZ7080887;6.01;0;0
NBZ7080888;6.01;0;0
NBZ7080889;6.87;10;0
NBZ7080890;6.87;10;0
NBZ7080891;5.16;10;0
NBZ7080892;6.89;0;0
NBZ7080893;6.03;0;0
NBZ7080894;0;0;0
NBZ7080895;5.91;0;0
NBZ7080896;0;0;0
NBZ7080897;5.81;0;0
NBZ7080898;6.88;0;0
NBZ7080899;0;0;0
NBZ7080900;6.48;0;0
NBZ7080901;6.01;10;0
NBZ7080902;0;0;0
NBZ7080903;0;0;0
NBZ7080904;6.01;10;0
NBZ7080905;6.91;0;0
NBZ7080906;0;0;0
NBZ7080907;0;0;0
NBZ7080913;6.87;10;0
NBZ7080914;6.01;10;0
