Matricula tramo;Tipo Tramo;Tipo de conductor 1;Longitud Real (Km);Resistencia (ohmios);Reactancia (ohmios);Modelo constructivo 1;Impedancia (ohmios);Estructura de red
CDO7031387;SUBTERRANEO;UNI-AL-240-RHV;1.42;0.149448887;0.125537068;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.195178196;PRINCIPAL
CDO7031388;AEREO;LA-56;0.025;0.011274705;0.007253271;350120 CABLE AL-ACERO LA 56;0.013406301;RACIMO
CDO7031351;SUBTERRANEO;UNI-AL-150-RHZ1-OL;0.28;0.05218349;0.028371608;330060C CABLE RHZ1-OL 12/20 KV 1X150 KAL+H16;0.059397515;RACIMO
CDO7031328;AEREO;LA-56;0.1;0.064882733;0.041740518;350120 CABLE AL-ACERO LA 56;0.077149466;RACIMO
CDO7031329;AEREO;LA-30;0.5;0.534585834;0.207369566;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.57339704;RACIMO
CDO7031330;AEREO;LA-30;0.1;0.011046568;0.004285041;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.011848554;RACIMO
CDO7031332;AEREO;LA-56;0.02;0.009280822;0.005970561;350120 CABLE AL-ACERO LA 56;0.011035455;RACIMO
CDO7031362;SUBTERRANEO;UNI-AL-240-RHV;0.634;0.077122644;0.064783022;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.100721113;PRINCIPAL
CDO7031353;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.06;0.001696488;0.00142505;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.002215589;PRINCIPAL
CDO7031354;AEREO;LA-30;0.02;0.015566444;0.006038332;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.016696576;RACIMO
CDO7031355;SUBTERRANEO;UNI-AL-240-RHV;0.63;0.078628115;0.066047616;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.102687232;PRINCIPAL
CDO7031356;AEREO;LA-56;1.4;0.226842746;0.145933032;350120 CABLE AL-ACERO LA 56;0.269729644;RACIMO
CDO7031333;SUBTERRANEO;UNI-AL-240-RHV;0.517;0.065625153;0.055125128;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.085705549;PRINCIPAL
CDO7031378;SUBTERRANEO;UNI-AL-240-RHV;1.447;0.182741195;0.153502598;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.238657489;RACIMO
CDO7031335;AEREO;LA-30;0.06;0.041855395;0.016235998;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.044894118;RACIMO
CDO7031348;AEREO;LA-56;0.15;0.047381021;0.030481277;350120 CABLE AL-ACERO LA 56;0.05633888;RACIMO
CDO7031349;AEREO;LA-30;0.389659;0.37341243;0.144849271;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.400522351;RACIMO
